iter	RMSE
0	3.164010094
1	3.160382609
2	3.158532563
3	3.155009387
4	3.152829362
5	3.151637819
6	3.147902747
7	3.146049967
8	3.144093696
9	3.139696573
10	3.136402178
11	3.133480899
12	3.130581977
13	3.127353117
14	3.124847622
15	3.12276643
16	3.12161769
17	3.118723165
18	3.115954448
19	3.113429441
20	3.111406162
21	3.106931883
22	3.105428329
23	3.101719659
24	3.099450285
25	3.097176772
26	3.095681529
27	3.092303178
28	3.090822968
29	3.085768648
30	3.083673582
31	3.081337795
32	3.079800684
33	3.077200236
34	3.073237983
35	3.070587593
36	3.068617324
37	3.065172517
38	3.062235941
39	3.058985918
40	3.055224635
41	3.053285332
42	3.052005709
43	3.048971237
44	3.045897368
45	3.042438381
46	3.038142785
47	3.036590919
48	3.035014467
49	3.032136652
50	3.029431292
51	3.026610017
52	3.025506132
53	3.021860605
54	3.019390556
55	3.018477039
56	3.016614396
57	3.014756769
58	3.009700037
59	3.007625764
60	3.004674142
61	3.00303057
62	3.002204388
63	3.0009699
64	2.999405605
65	2.998582885
66	2.996864733
67	2.994516605
68	2.991459815
69	2.987442232
70	2.985673258
71	2.982094091
72	2.981162754
73	2.978717615
74	2.976540404
75	2.97569567
76	2.973776351
77	2.97136724
78	2.968243054
79	2.967291915
80	2.963553372
81	2.962233413
82	2.96056132
83	2.958336679
84	2.957969149
85	2.956567407
86	2.954957108
87	2.953005945
88	2.947776516
89	2.946544652
90	2.945482182
91	2.93891808
92	2.937309865
93	2.93478248
94	2.933715235
95	2.930805682
96	2.929047652
97	2.927266261
98	2.92424147
99	2.921954955
100	2.920734171
101	2.918759358
102	2.91654264
103	2.914832996
104	2.91341782
105	2.911366198
106	2.910313296
107	2.908921057
108	2.906207103
109	2.905326557
110	2.902784628
111	2.900655763
112	2.89943926
113	2.897779147
114	2.895731863
115	2.894222432
116	2.893605053
117	2.892973304
118	2.892123957
119	2.890866472
120	2.887441627
121	2.884215729
122	2.882045104
123	2.881558622
124	2.878251517
125	2.876897138
126	2.874350204
127	2.87179649
128	2.869080141
129	2.866736336
130	2.862693434
131	2.860002469
132	2.857841872
133	2.856017275
134	2.854640041
135	2.852303328
136	2.848632559
137	2.845078061
138	2.843949513
139	2.840726103
140	2.839429549
141	2.838027412
142	2.835961853
143	2.835137526
144	2.834230967
145	2.832002315
146	2.83141222
147	2.829296311
148	2.827880316
149	2.824252301
150	2.823539229
151	2.821384506
152	2.819618134
153	2.817149696
154	2.815091909
155	2.813579366
156	2.809623909
157	2.807739609
158	2.8063424
159	2.80458498
160	2.80085617
161	2.799654366
162	2.797484236
163	2.794699108
164	2.794094548
165	2.791898495
166	2.789076277
167	2.786422674
168	2.785657703
169	2.784513626
170	2.782990303
171	2.781341203
172	2.779801757
173	2.779134419
174	2.77850128
175	2.777927339
176	2.77678583
177	2.77616259
178	2.775554387
179	2.774865271
180	2.774147122
181	2.772543447
182	2.771899739
183	2.771105145
184	2.770279821
185	2.769671618
186	2.769039537
187	2.768141977
188	2.767376226
189	2.766369403
190	2.765728424
191	2.765263636
192	2.763952157
193	2.763168555
194	2.762338065
195	2.761774259
196	2.760971436
197	2.760175383
198	2.759079221
199	2.7582825
200	2.757824825
201	2.757217935
202	2.756690012
203	2.755853181
204	2.755033046
205	2.754251508
206	2.753309561
207	2.752279315
208	2.751563941
209	2.750971845
210	2.750295589
211	2.749718487
212	2.748724761
213	2.748327203
214	2.747736257
215	2.746920509
216	2.74654984
217	2.746135132
218	2.745596116
219	2.744807896
220	2.744484756
221	2.74363152
222	2.743007822
223	2.742670116
224	2.741850893
225	2.741290456
226	2.74053866
227	2.739743602
228	2.739150777
229	2.73837853
230	2.736946005
231	2.736289722
232	2.735920243
233	2.735189237
234	2.734852218
235	2.734243654
236	2.731599965
237	2.731189033
238	2.730541967
239	2.72984513
240	2.729248011
241	2.728872041
242	2.72858339
243	2.727920138
244	2.727316532
245	2.726754163
246	2.726342371
247	2.725861399
248	2.725517729
249	2.724753419
250	2.724234617
251	2.723561421
252	2.722787084
253	2.722409785
254	2.721772798
255	2.71920968
256	2.718665275
257	2.716798452
258	2.71618957
259	2.715548405
260	2.715068223
261	2.714442943
262	2.714202488
263	2.71374478
264	2.713206192
265	2.712626082
266	2.712389433
267	2.711167047
268	2.710576233
269	2.709993997
270	2.709459742
271	2.709081146
272	2.708684497
273	2.708183269
274	2.707552445
275	2.706790909
276	2.706569886
277	2.706083422
278	2.705637626
279	2.705074684
280	2.70447553
281	2.70409845
282	2.703619074
283	2.703391049
284	2.703141217
285	2.702512248
286	2.701991563
287	2.699875661
288	2.699504108
289	2.696833515
290	2.69639644
291	2.696169973
292	2.695499679
293	2.695297192
294	2.69489298
295	2.694501503
296	2.694166402
297	2.69366503
298	2.69322192
299	2.692523891
300	2.692127188
301	2.691691336
302	2.691169458
303	2.690572696
304	2.690106863
305	2.689418103
306	2.689207766
307	2.689010499
308	2.688564174
309	2.688325717
310	2.687357761
311	2.686180861
312	2.685478051
313	2.685003792
314	2.684593064
315	2.684241932
316	2.683596951
317	2.683250005
318	2.682747879
319	2.682478981
320	2.681294726
321	2.680008559
322	2.678996071
323	2.678604185
324	2.678407797
325	2.678060967
326	2.677659416
327	2.67730219
328	2.677052042
329	2.676614409
330	2.676220035
331	2.675334693
332	2.674981103
333	2.674751534
334	2.674289747
335	2.674100278
336	2.671484299
337	2.671102071
338	2.670213392
339	2.669978876
340	2.666782251
341	2.666437562
342	2.665558173
343	2.665152809
344	2.664952397
345	2.664794251
346	2.664564354
347	2.66250383
348	2.661969427
349	2.661773613
350	2.66124227
351	2.661022863
352	2.660648827
353	2.659909424
354	2.659367537
355	2.65515998
356	2.651977062
357	2.651628439
358	2.65004159
359	2.649711147
360	2.649388114
361	2.648684944
362	2.647072279
363	2.646320898
364	2.645908366
365	2.6453259
366	2.644551098
367	2.644328772
368	2.643938283
369	2.643600848
370	2.643072888
371	2.642869245
372	2.642648587
373	2.640238634
374	2.638411938
375	2.638072996
376	2.63753861
377	2.636631005
378	2.633688597
379	2.633311539
380	2.632422942
381	2.631762592
382	2.63141565
383	2.630789438
384	2.630444236
385	2.627325745
386	2.627138805
387	2.62600829
388	2.625546918
389	2.625294993
390	2.625075509
391	2.624910927
392	2.62436333
393	2.62341973
394	2.622618335
395	2.621789126
396	2.620901838
397	2.620641033
398	2.620050451
399	2.61969868
400	2.619326821
401	2.618764085
402	2.618392338
403	2.615300245
404	2.614962226
405	2.614397145
406	2.614210299
407	2.613996213
408	2.613694558
409	2.613497354
410	2.613275819
411	2.613113081
412	2.612709043
413	2.612486905
414	2.612324889
415	2.60901885
416	2.608507312
417	2.608119139
418	2.607793208
419	2.607427608
420	2.605611329
421	2.605235739
422	2.605046562
423	2.604782662
424	2.604246316
425	2.603738735
426	2.603486591
427	2.6026053
428	2.602421009
429	2.60204737
430	2.601548359
431	2.601016713
432	2.599908716
433	2.599582086
434	2.599440952
435	2.599128083
436	2.59881463
437	2.597179269
438	2.596676749
439	2.596408957
440	2.594362569
441	2.591824906
442	2.591679751
443	2.591319258
444	2.59051363
445	2.590065685
446	2.589072449
447	2.58873191
448	2.587088663
449	2.586507256
450	2.586326197
451	2.586116737
452	2.585182292
453	2.584889653
454	2.582483663
455	2.582280081
456	2.580970476
457	2.580788215
458	2.580628291
459	2.580407584
460	2.579633362
461	2.579018189
462	2.578527434
463	2.575693872
464	2.572730566
465	2.572583255
466	2.572318877
467	2.569516403
468	2.569382893
469	2.569102195
470	2.568569752
471	2.567973224
472	2.566735792
473	2.566578581
474	2.566259966
475	2.565943206
476	2.565808187
477	2.564765771
478	2.564166551
479	2.564019428
480	2.563599846
481	2.562975765
482	2.562704809
483	2.562378384
484	2.562120048
485	2.561557637
486	2.561209761
487	2.558915857
488	2.558784274
489	2.557861048
490	2.557740909
491	2.556934904
492	2.556667516
493	2.556548009
494	2.556329012
495	2.556073401
496	2.555800024
497	2.555550453
498	2.552615029
499	2.552467623
500	2.552322469
501	2.548849632
502	2.548359406
503	2.547838493
504	2.547731115
505	2.545574383
506	2.545229721
507	2.544895425
508	2.544786006
509	2.544576844
510	2.544150866
511	2.544047237
512	2.54352367
513	2.541356764
514	2.54105871
515	2.540736139
516	2.540556778
517	2.540318548
518	2.538629154
519	2.53780246
520	2.53749663
521	2.535157652
522	2.53147704
523	2.530943236
524	2.530828346
525	2.530531296
526	2.530226852
527	2.529278603
528	2.529136064
529	2.526326277
530	2.523873166
531	2.523591495
532	2.522777133
533	2.521896032
534	2.52001932
535	2.519666341
536	2.519402096
537	2.518436201
538	2.518185275
539	2.517939113
540	2.517156705
541	2.517007684
542	2.516486477
543	2.516388161
544	2.515963506
545	2.512225257
546	2.511708293
547	2.511401283
548	2.508294274
549	2.507572538
550	2.50744975
551	2.507195263
552	2.506872915
553	2.506577938
554	2.503441431
555	2.503023273
556	2.502929099
557	2.502841521
558	2.500808851
559	2.49894047
560	2.498844439
561	2.498604438
562	2.498218547
563	2.497851384
564	2.496824629
565	2.496410715
566	2.493970895
567	2.490857236
568	2.490561486
569	2.488306565
570	2.488208799
571	2.487788152
572	2.487553951
573	2.487460595
574	2.487190764
575	2.486444457
576	2.486150317
577	2.483637898
578	2.483560075
579	2.479560148
580	2.478637019
581	2.478155144
582	2.47669303
583	2.475830515
584	2.473184345
585	2.47235703
586	2.472043187
587	2.471779034
588	2.4714725
589	2.471382751
590	2.468084712
591	2.467561752
592	2.466980405
593	2.466252078
594	2.464502182
595	2.464261927
596	2.463834961
597	2.461584799
598	2.461484838
599	2.461358646
600	2.460633203
601	2.460333188
602	2.460085418
603	2.459857895
604	2.456969253
605	2.453831575
606	2.453410807
607	2.452793857
608	2.452546187
609	2.452358113
610	2.452075409
611	2.451884375
612	2.451687173
613	2.450838661
614	2.450580739
615	2.449965235
616	2.449846499
617	2.449574349
618	2.449304105
619	2.446435727
620	2.444461786
621	2.44437224
622	2.444240463
623	2.443615236
624	2.443347157
625	2.440873065
626	2.440591534
627	2.43880859
628	2.438563771
629	2.438303666
630	2.438189939
631	2.438057488
632	2.437800602
633	2.435729561
634	2.432364587
635	2.432087892
636	2.430307623
637	2.430141195
638	2.429879019
639	2.429647174
640	2.429184644
641	2.428928135
642	2.428846036
643	2.427087526
644	2.426664439
645	2.426569502
646	2.425964078
647	2.42181432
648	2.418894258
649	2.418677597
650	2.418582439
651	2.418462921
652	2.418359629
653	2.41804672
654	2.415796929
655	2.415563779
656	2.412006138
657	2.411781228
658	2.409488203
659	2.409232026
660	2.408169666
661	2.407789742
662	2.406865694
663	2.406608191
664	2.405258399
665	2.404911241
666	2.404642462
667	2.403052642
668	2.400935658
669	2.400821992
670	2.400510787
671	2.400403618
672	2.397907975
673	2.397823432
674	2.396179429
675	2.394370507
676	2.394278851
677	2.394028297
678	2.393929207
679	2.393752333
680	2.391283287
681	2.391159545
682	2.391078408
683	2.390968884
684	2.390788153
685	2.390389816
686	2.390212457
687	2.390008787
688	2.389411285
689	2.388484586
690	2.386418398
691	2.385884638
692	2.385614992
693	2.383047442
694	2.382619363
695	2.382041211
696	2.381943834
697	2.378997039
698	2.378905238
699	2.376651175
700	2.376389675
701	2.376282466
702	2.375072492
703	2.373252177
704	2.372948105
705	2.372703143
706	2.370713083
707	2.370422458
708	2.367591846
709	2.36467036
710	2.364577183
711	2.364351038
712	2.362388099
713	2.362282058
714	2.362105902
715	2.361824809
716	2.361722494
717	2.361488386
718	2.361268122
719	2.360920798
720	2.36069064
721	2.359964253
722	2.359833065
723	2.359203826
724	2.358746768
725	2.358541755
726	2.355495976
727	2.35539978
728	2.355313253
729	2.355100423
730	2.355001395
731	2.353524082
732	2.353445321
733	2.353356717
734	2.351572962
735	2.351226469
736	2.350837532
737	2.350188373
738	2.349798749
739	2.349517632
740	2.346970713
741	2.343689968
742	2.343180815
743	2.340649211
744	2.34059447
745	2.339966939
746	2.33989116
747	2.339796101
748	2.339707647
749	2.337369147
750	2.33547552
751	2.335211482
752	2.335075433
753	2.333538398
754	2.331161889
755	2.330955009
756	2.330812183
757	2.330742704
758	2.330333304
759	2.330250189
760	2.329653591
761	2.329541405
762	2.329310682
763	2.329256083
764	2.329181802
765	2.326297488
766	2.326228196
767	2.323490421
768	2.323423271
769	2.323273223
770	2.320675223
771	2.320582461
772	2.319330761
773	2.319259985
774	2.319000767
775	2.318435413
776	2.31835469
777	2.316455378
778	2.314044521
779	2.3139811
780	2.313932229
781	2.313724483
782	2.313419099
783	2.312706445
784	2.312642132
785	2.312462019
786	2.310226051
787	2.310047903
788	2.309820278
789	2.309687531
790	2.30956476
791	2.305794818
792	2.30541001
793	2.305315476
794	2.305134909
795	2.302242229
796	2.301218194
797	2.301074869
798	2.300843255
799	2.300653925
800	2.300277405
801	2.300177442
802	2.300065797
803	2.299712626
804	2.299645742
805	2.297102794
806	2.296892536
807	2.296227563
808	2.293181117
809	2.292935817
810	2.290341414
811	2.288530442
812	2.284829176
813	2.284624247
814	2.284409561
815	2.282319547
816	2.28226028
817	2.279708477
818	2.278952875
819	2.277226909
820	2.277154971
821	2.276747864
822	2.276538779
823	2.276314033
824	2.273360414
825	2.27329896
826	2.270661577
827	2.270271183
828	2.270164361
829	2.270039656
830	2.26981815
831	2.265188154
832	2.264941526
833	2.264598626
834	2.264398816
835	2.262479312
836	2.262400458
837	2.259881172
838	2.259456772
839	2.259294542
840	2.258221218
841	2.258147619
842	2.255959854
843	2.253490902
844	2.253126053
845	2.253026581
846	2.252528385
847	2.252453918
848	2.252185081
849	2.252055915
850	2.251829529
851	2.251297348
852	2.251083105
853	2.248903458
854	2.245449524
855	2.244776692
856	2.244684682
857	2.24461229
858	2.244272221
859	2.244192028
860	2.244093414
861	2.243995035
862	2.243913147
863	2.241059943
864	2.240860188
865	2.240487304
866	2.240293944
867	2.240078232
868	2.23957122
869	2.239487167
870	2.238559133
871	2.236848899
872	2.236649254
873	2.235254973
874	2.234747388
875	2.234370666
876	2.234130293
877	2.233903079
878	2.233727544
879	2.231832807
880	2.231550174
881	2.23144755
882	2.231358366
883	2.231266362
884	2.230883376
885	2.230789226
886	2.230348437
887	2.230150501
888	2.227655381
889	2.227474167
890	2.224134499
891	2.224027397
892	2.223823749
893	2.223642574
894	2.220573565
895	2.220374083
896	2.219577006
897	2.219296095
898	2.219203931
899	2.217655472
900	2.217419302
901	2.217216921
902	2.215595616
903	2.215406432
904	2.215077495
905	2.214929573
906	2.214835318
907	2.21463848
908	2.211895785
909	2.209615622
910	2.209547535
911	2.206107071
912	2.205991256
913	2.203268651
914	2.203048641
915	2.202459626
916	2.202190323
917	2.20183302
918	2.198860754
919	2.1986691
920	2.197984686
921	2.195213827
922	2.194811338
923	2.192858237
924	2.192566255
925	2.192422568
926	2.192225387
927	2.192136197
928	2.191751501
929	2.189798568
930	2.189570601
931	2.189397485
932	2.189016155
933	2.18894195
934	2.187946516
935	2.187798947
936	2.185383016
937	2.184955637
938	2.184426538
939	2.182808762
940	2.182611551
941	2.180486144
