iter	Passed	Remaining
0	279	278950
1	289	144245
2	298	99189
3	307	76654
4	317	63126
5	325	53952
6	335	47573
7	344	42769
8	353	38919
9	362	35916
10	371	33443
11	381	31398
12	390	29661
13	399	28163
14	408	26842
15	418	25711
16	427	24713
17	436	23824
18	445	22992
19	454	22270
20	463	21622
21	472	21007
22	482	20478
23	491	19985
24	500	19525
25	509	19094
26	518	18702
27	528	18340
28	537	17991
29	546	17674
30	556	17388
31	566	17127
32	574	16843
33	584	16600
34	593	16374
35	603	16151
36	612	15942
37	622	15750
38	631	15548
39	640	15380
40	650	15221
41	660	15070
42	669	14910
43	679	14761
44	689	14623
45	698	14483
46	707	14343
47	717	14222
48	726	14096
49	735	13977
50	744	13861
51	754	13758
52	764	13653
53	773	13552
54	783	13456
55	792	13355
56	802	13268
57	811	13175
58	820	13087
59	829	12995
60	838	12911
61	848	12831
62	857	12758
63	866	12677
64	876	12606
65	886	12541
66	895	12472
67	905	12409
68	914	12343
69	924	12278
70	933	12220
71	942	12152
72	952	12096
73	961	12029
74	969	11961
75	979	11911
76	989	11855
77	998	11799
78	1007	11740
79	1016	11685
80	1025	11636
81	1035	11587
82	1043	11531
83	1053	11487
84	1062	11441
85	1072	11401
86	1082	11355
87	1091	11311
88	1100	11268
89	1110	11231
90	1120	11189
91	1129	11143
92	1138	11101
93	1146	11052
94	1156	11013
95	1165	10971
96	1173	10925
97	1182	10882
98	1191	10848
99	1201	10813
100	1211	10780
101	1219	10740
102	1228	10699
103	1238	10667
104	1247	10630
105	1257	10601
106	1266	10572
107	1276	10539
108	1284	10503
109	1294	10471
110	1302	10434
111	1312	10402
112	1321	10370
113	1330	10340
114	1340	10314
115	1348	10278
116	1357	10248
117	1366	10216
118	1375	10186
119	1385	10157
120	1394	10129
121	1404	10105
122	1413	10076
123	1423	10053
124	1432	10025
125	1441	9995
126	1450	9973
127	1461	9953
128	1470	9928
129	1479	9903
130	1489	9881
131	1498	9855
132	1508	9833
133	1518	9813
134	1527	9785
135	1537	9764
136	1546	9740
137	1554	9711
138	1563	9685
139	1572	9660
140	1582	9638
141	1591	9614
142	1600	9588
143	1609	9565
144	1617	9538
145	1626	9516
146	1636	9493
147	1645	9470
148	1653	9445
149	1662	9421
150	1672	9402
151	1680	9378
152	1689	9353
153	1698	9332
154	1707	9307
155	1716	9287
156	1726	9269
157	1736	9253
158	1746	9235
159	1755	9215
160	1764	9196
161	1773	9174
162	1782	9154
163	1792	9136
164	1800	9113
165	1809	9092
166	1819	9074
167	1828	9056
168	1837	9036
169	1847	9018
170	1856	9000
171	1865	8981
172	1875	8965
173	1884	8944
174	1893	8925
175	1902	8906
176	1911	8886
177	1920	8868
178	1929	8850
179	1939	8835
180	1947	8811
181	1956	8792
182	1965	8773
183	1974	8754
184	1982	8735
185	1991	8715
186	2000	8699
187	2009	8680
188	2019	8665
189	2028	8646
190	2036	8627
191	2045	8608
192	2054	8591
193	2062	8569
194	2071	8551
195	2080	8536
196	2089	8518
197	2098	8499
